Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Middeltemperatur (døgn);Middel av middelvind fra hovedobs. (døgn);Høyeste vindkast (døgn);Høyeste middelvind (døgn)
Oslo - Kjelsås;SN18440;03.07.2022;0,5;-;-;-;-
Oslo - Kjelsås;SN18440;04.07.2022;3;-;-;-;-
Oslo - Kjelsås;SN18440;05.07.2022;1,5;-;-;-;-
Oslo - Kjelsås;SN18440;06.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;07.07.2022;7,5;-;-;-;-
Oslo - Kjelsås;SN18440;08.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;09.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;12.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;14.07.2022;2,5;-;-;-;-
Oslo - Kjelsås;SN18440;15.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;16.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;17.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;18.07.2022;0,9;-;-;-;-
Oslo - Kjelsås;SN18440;19.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;20.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;22.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;23.07.2022;3,3;-;-;-;-
Oslo - Kjelsås;SN18440;24.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;25.07.2022;3,3;-;-;-;-
Oslo - Kjelsås;SN18440;26.07.2022;2;-;-;-;-
Oslo - Kjelsås;SN18440;27.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;28.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;29.07.2022;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;30.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;31.07.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;01.08.2022;8,8;-;-;-;-
Oslo - Kjelsås;SN18440;02.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;03.08.2022;15,4;-;-;-;-
Oslo - Kjelsås;SN18440;04.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;05.08.2022;1,8;-;-;-;-
Oslo - Kjelsås;SN18440;06.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;07.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;08.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;09.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;12.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;14.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;15.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;16.08.2022;57,4;-;-;-;-
Oslo - Kjelsås;SN18440;17.08.2022;16,8;-;-;-;-
Oslo - Kjelsås;SN18440;18.08.2022;0,3;-;-;-;-
Oslo - Kjelsås;SN18440;19.08.2022;1,8;-;-;-;-
Oslo - Kjelsås;SN18440;20.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;22.08.2022;4,9;-;-;-;-
Oslo - Kjelsås;SN18440;23.08.2022;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;24.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;25.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;26.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;27.08.2022;1,4;-;-;-;-
Oslo - Kjelsås;SN18440;28.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;29.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;30.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;31.08.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;01.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;02.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;03.09.2022;1,4;-;-;-;-
Oslo - Kjelsås;SN18440;04.09.2022;2,1;-;-;-;-
Oslo - Kjelsås;SN18440;05.09.2022;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;06.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;07.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;08.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;09.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.09.2022;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;11.09.2022;0,2;-;-;-;-
Oslo - Kjelsås;SN18440;12.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.09.2022;22,5;-;-;-;-
Oslo - Kjelsås;SN18440;14.09.2022;4,1;-;-;-;-
Oslo - Kjelsås;SN18440;15.09.2022;4,9;-;-;-;-
Oslo - Kjelsås;SN18440;16.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;17.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;18.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;19.09.2022;0,2;-;-;-;-
Oslo - Kjelsås;SN18440;20.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;22.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;23.09.2022;2,6;-;-;-;-
Oslo - Kjelsås;SN18440;24.09.2022;17,5;-;-;-;-
Oslo - Kjelsås;SN18440;25.09.2022;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;26.09.2022;2,6;-;-;-;-
Oslo - Kjelsås;SN18440;27.09.2022;11,4;-;-;-;-
Oslo - Kjelsås;SN18440;28.09.2022;1;-;-;-;-
Oslo - Kjelsås;SN18440;29.09.2022;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;30.09.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;01.10.2022;0,8;-;-;-;-
Oslo - Kjelsås;SN18440;02.10.2022;4,5;-;-;-;-
Oslo - Kjelsås;SN18440;03.10.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;04.10.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;05.10.2022;0,4;-;-;-;-
Oslo - Kjelsås;SN18440;06.10.2022;7,2;-;-;-;-
Oslo - Kjelsås;SN18440;07.10.2022;0,4;-;-;-;-
Oslo - Kjelsås;SN18440;08.10.2022;0,9;-;-;-;-
Oslo - Kjelsås;SN18440;09.10.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.10.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.10.2022;2,2;-;-;-;-
Oslo - Kjelsås;SN18440;12.10.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.10.2022;5,7;-;-;-;-
Oslo - Kjelsås;SN18440;14.10.2022;15,1;-;-;-;-
Oslo - Kjelsås;SN18440;15.10.2022;6,2;-;-;-;-
Oslo - Kjelsås;SN18440;16.10.2022;8,4;-;-;-;-
Oslo - Kjelsås;SN18440;17.10.2022;6;-;-;-;-
Oslo - Kjelsås;SN18440;18.10.2022;5,6;-;-;-;-
Oslo - Kjelsås;SN18440;19.10.2022;0,2;-;-;-;-
Oslo - Kjelsås;SN18440;20.10.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.10.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;22.10.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;23.10.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;24.10.2022;1;-;-;-;-
Oslo - Kjelsås;SN18440;25.10.2022;8,9;-;-;-;-
Oslo - Kjelsås;SN18440;26.10.2022;1,3;-;-;-;-
Oslo - Kjelsås;SN18440;27.10.2022;2,7;-;-;-;-
Oslo - Kjelsås;SN18440;28.10.2022;0,6;-;-;-;-
Oslo - Kjelsås;SN18440;29.10.2022;9,2;-;-;-;-
Oslo - Kjelsås;SN18440;30.10.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;31.10.2022;1,8;-;-;-;-
Oslo - Kjelsås;SN18440;01.11.2022;0,3;-;-;-;-
Oslo - Kjelsås;SN18440;02.11.2022;9,5;-;-;-;-
Oslo - Kjelsås;SN18440;03.11.2022;9,3;-;-;-;-
Oslo - Kjelsås;SN18440;04.11.2022;4,9;-;-;-;-
Oslo - Kjelsås;SN18440;05.11.2022;5,4;-;-;-;-
Oslo - Kjelsås;SN18440;06.11.2022;6,8;-;-;-;-
Oslo - Kjelsås;SN18440;07.11.2022;13,5;-;-;-;-
Oslo - Kjelsås;SN18440;08.11.2022;6,7;-;-;-;-
Oslo - Kjelsås;SN18440;09.11.2022;11,1;-;-;-;-
Oslo - Kjelsås;SN18440;10.11.2022;0,3;-;-;-;-
Oslo - Kjelsås;SN18440;11.11.2022;1,8;-;-;-;-
Oslo - Kjelsås;SN18440;12.11.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.11.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;14.11.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;15.11.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;16.11.2022;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;17.11.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;18.11.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;19.11.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;20.11.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.11.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;22.11.2022;0,3;-;-;-;-
Oslo - Kjelsås;SN18440;23.11.2022;4;-;-;-;-
Oslo - Kjelsås;SN18440;24.11.2022;2,9;-;-;-;-
Oslo - Kjelsås;SN18440;25.11.2022;2,3;-;-;-;-
Oslo - Kjelsås;SN18440;26.11.2022;0,3;-;-;-;-
Oslo - Kjelsås;SN18440;27.11.2022;6,8;-;-;-;-
Oslo - Kjelsås;SN18440;28.11.2022;0,9;-;-;-;-
Oslo - Kjelsås;SN18440;29.11.2022;0,4;-;-;-;-
Oslo - Kjelsås;SN18440;30.11.2022;0,3;-;-;-;-
Oslo - Kjelsås;SN18440;01.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;02.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;03.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;04.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;05.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;06.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;07.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;08.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;09.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;12.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;14.12.2022;2,9;-;-;-;-
Oslo - Kjelsås;SN18440;15.12.2022;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;16.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;17.12.2022;6,5;-;-;-;-
Oslo - Kjelsås;SN18440;18.12.2022;3,2;-;-;-;-
Oslo - Kjelsås;SN18440;19.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;20.12.2022;6,4;-;-;-;-
Oslo - Kjelsås;SN18440;21.12.2022;3;-;-;-;-
Oslo - Kjelsås;SN18440;22.12.2022;8,6;-;-;-;-
Oslo - Kjelsås;SN18440;23.12.2022;3,5;-;-;-;-
Oslo - Kjelsås;SN18440;24.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;25.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;26.12.2022;9,7;-;-;-;-
Oslo - Kjelsås;SN18440;27.12.2022;17,3;-;-;-;-
Oslo - Kjelsås;SN18440;28.12.2022;0;-;-;-;-
Oslo - Kjelsås;SN18440;29.12.2022;1,9;-;-;-;-
Oslo - Kjelsås;SN18440;30.12.2022;3,9;-;-;-;-
Oslo - Kjelsås;SN18440;31.12.2022;3,7;-;-;-;-
Oslo - Kjelsås;SN18440;11.01.2023;4,6;-;-;-;-
Oslo - Kjelsås;SN18440;12.01.2023;0,7;-;-;-;-
Oslo - Kjelsås;SN18440;13.01.2023;6,9;-;-;-;-
Oslo - Kjelsås;SN18440;14.01.2023;5;-;-;-;-
Oslo - Kjelsås;SN18440;15.01.2023;10,5;-;-;-;-
Oslo - Kjelsås;SN18440;16.01.2023;2,1;-;-;-;-
Oslo - Kjelsås;SN18440;17.01.2023;3,8;-;-;-;-
Oslo - Kjelsås;SN18440;18.01.2023;7,1;-;-;-;-
Oslo - Kjelsås;SN18440;19.01.2023;2,6;-;-;-;-
Oslo - Kjelsås;SN18440;20.01.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.01.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;22.01.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;23.01.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;24.01.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;25.01.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;26.01.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;27.01.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;28.01.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;29.01.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;30.01.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;31.01.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;01.02.2023;0,2;-;-;-;-
Oslo - Kjelsås;SN18440;02.02.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;03.02.2023;0,2;-;-;-;-
Oslo - Kjelsås;SN18440;04.02.2023;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;05.02.2023;3,9;-;-;-;-
Oslo - Kjelsås;SN18440;06.02.2023;1,7;-;-;-;-
Oslo - Kjelsås;SN18440;07.02.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;08.02.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;09.02.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.02.2023;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;11.02.2023;0,2;-;-;-;-
Oslo - Kjelsås;SN18440;12.02.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.02.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;14.02.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;15.02.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;16.02.2023;0,5;-;-;-;-
Oslo - Kjelsås;SN18440;17.02.2023;2,1;-;-;-;-
Oslo - Kjelsås;SN18440;18.02.2023;16,3;-;-;-;-
Oslo - Kjelsås;SN18440;19.02.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;20.02.2023;8,3;-;-;-;-
Oslo - Kjelsås;SN18440;21.02.2023;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;22.02.2023;0,2;-;-;-;-
Oslo - Kjelsås;SN18440;23.02.2023;8,1;-;-;-;-
Oslo - Kjelsås;SN18440;24.02.2023;4,8;-;-;-;-
Oslo - Kjelsås;SN18440;25.02.2023;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;26.02.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;27.02.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;28.02.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;01.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;02.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;03.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;04.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;05.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;06.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;07.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;08.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;09.03.2023;0,6;-;-;-;-
Oslo - Kjelsås;SN18440;10.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;12.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.03.2023;0,8;-;-;-;-
Oslo - Kjelsås;SN18440;14.03.2023;11;-;-;-;-
Oslo - Kjelsås;SN18440;15.03.2023;0,8;-;-;-;-
Oslo - Kjelsås;SN18440;16.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;17.03.2023;2,1;-;-;-;-
Oslo - Kjelsås;SN18440;18.03.2023;9,4;-;-;-;-
Oslo - Kjelsås;SN18440;19.03.2023;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;20.03.2023;1,1;-;-;-;-
Oslo - Kjelsås;SN18440;21.03.2023;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;22.03.2023;5,7;-;-;-;-
Oslo - Kjelsås;SN18440;23.03.2023;7,8;-;-;-;-
Oslo - Kjelsås;SN18440;24.03.2023;5,1;-;-;-;-
Oslo - Kjelsås;SN18440;25.03.2023;7,2;-;-;-;-
Oslo - Kjelsås;SN18440;26.03.2023;1;-;-;-;-
Oslo - Kjelsås;SN18440;27.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;28.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;29.03.2023;6,1;-;-;-;-
Oslo - Kjelsås;SN18440;30.03.2023;0,8;-;-;-;-
Oslo - Kjelsås;SN18440;31.03.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;01.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;02.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;03.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;04.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;05.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;06.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;07.04.2023;1,8;-;-;-;-
Oslo - Kjelsås;SN18440;08.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;09.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.04.2023;1,6;-;-;-;-
Oslo - Kjelsås;SN18440;11.04.2023;0,6;-;-;-;-
Oslo - Kjelsås;SN18440;12.04.2023;5,1;-;-;-;-
Oslo - Kjelsås;SN18440;13.04.2023;5,6;-;-;-;-
Oslo - Kjelsås;SN18440;14.04.2023;5,5;-;-;-;-
Oslo - Kjelsås;SN18440;15.04.2023;18,5;-;-;-;-
Oslo - Kjelsås;SN18440;16.04.2023;2,1;-;-;-;-
Oslo - Kjelsås;SN18440;17.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;18.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;19.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;20.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;22.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;23.04.2023;4,7;-;-;-;-
Oslo - Kjelsås;SN18440;24.04.2023;6,1;-;-;-;-
Oslo - Kjelsås;SN18440;25.04.2023;27,7;-;-;-;-
Oslo - Kjelsås;SN18440;26.04.2023;7,3;-;-;-;-
Oslo - Kjelsås;SN18440;27.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;28.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;29.04.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;30.04.2023;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;01.05.2023;0,9;-;-;-;-
Oslo - Kjelsås;SN18440;02.05.2023;3,5;-;-;-;-
Oslo - Kjelsås;SN18440;03.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;04.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;05.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;06.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;07.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;08.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;09.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;12.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;14.05.2023;0,3;-;-;-;-
Oslo - Kjelsås;SN18440;15.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;16.05.2023;4,5;-;-;-;-
Oslo - Kjelsås;SN18440;17.05.2023;4,3;-;-;-;-
Oslo - Kjelsås;SN18440;18.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;19.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;20.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;22.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;23.05.2023;1,5;-;-;-;-
Oslo - Kjelsås;SN18440;24.05.2023;2,6;-;-;-;-
Oslo - Kjelsås;SN18440;25.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;26.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;27.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;28.05.2023;1,3;-;-;-;-
Oslo - Kjelsås;SN18440;29.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;30.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;31.05.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;01.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;02.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;03.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;04.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;05.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;06.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;07.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;08.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;09.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;12.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;14.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;15.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;16.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;17.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;18.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;19.06.2023;4,1;-;-;-;-
Oslo - Kjelsås;SN18440;20.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.06.2023;4,8;-;-;-;-
Oslo - Kjelsås;SN18440;22.06.2023;12,3;-;-;-;-
Oslo - Kjelsås;SN18440;23.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;24.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;25.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;26.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;27.06.2023;7,8;-;-;-;-
Oslo - Kjelsås;SN18440;28.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;29.06.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;30.06.2023;3,8;-;-;-;-
Oslo - Kjelsås;SN18440;01.07.2023;0,5;-;-;-;-
Oslo - Kjelsås;SN18440;02.07.2023;8,9;-;-;-;-
Oslo - Kjelsås;SN18440;03.07.2023;5,6;-;-;-;-
Oslo - Kjelsås;SN18440;04.07.2023;2,3;-;-;-;-
Oslo - Kjelsås;SN18440;05.07.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;06.07.2023;4,2;-;-;-;-
Oslo - Kjelsås;SN18440;07.07.2023;12,4;-;-;-;-
Oslo - Kjelsås;SN18440;08.07.2023;2,3;-;-;-;-
Oslo - Kjelsås;SN18440;09.07.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.07.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.07.2023;0,5;-;-;-;-
Oslo - Kjelsås;SN18440;12.07.2023;15,1;-;-;-;-
Oslo - Kjelsås;SN18440;13.07.2023;6,2;-;-;-;-
Oslo - Kjelsås;SN18440;14.07.2023;1;-;-;-;-
Oslo - Kjelsås;SN18440;15.07.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;16.07.2023;17,4;-;-;-;-
Oslo - Kjelsås;SN18440;17.07.2023;4,8;-;-;-;-
Oslo - Kjelsås;SN18440;18.07.2023;1,5;-;-;-;-
Oslo - Kjelsås;SN18440;19.07.2023;0,4;-;-;-;-
Oslo - Kjelsås;SN18440;20.07.2023;0,5;-;-;-;-
Oslo - Kjelsås;SN18440;21.07.2023;3,2;-;-;-;-
Oslo - Kjelsås;SN18440;22.07.2023;1,9;-;-;-;-
Oslo - Kjelsås;SN18440;23.07.2023;4,9;-;-;-;-
Oslo - Kjelsås;SN18440;24.07.2023;1,3;-;-;-;-
Oslo - Kjelsås;SN18440;25.07.2023;20,5;-;-;-;-
Oslo - Kjelsås;SN18440;26.07.2023;0,6;-;-;-;-
Oslo - Kjelsås;SN18440;27.07.2023;0,3;-;-;-;-
Oslo - Kjelsås;SN18440;28.07.2023;1,3;-;-;-;-
Oslo - Kjelsås;SN18440;29.07.2023;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;30.07.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;31.07.2023;5,4;-;-;-;-
Oslo - Kjelsås;SN18440;01.08.2023;4,5;-;-;-;-
Oslo - Kjelsås;SN18440;02.08.2023;1,3;-;-;-;-
Oslo - Kjelsås;SN18440;03.08.2023;5,4;-;-;-;-
Oslo - Kjelsås;SN18440;04.08.2023;2;-;-;-;-
Oslo - Kjelsås;SN18440;05.08.2023;12,1;-;-;-;-
Oslo - Kjelsås;SN18440;06.08.2023;4,6;-;-;-;-
Oslo - Kjelsås;SN18440;07.08.2023;11,6;-;-;-;-
Oslo - Kjelsås;SN18440;08.08.2023;52;-;-;-;-
Oslo - Kjelsås;SN18440;09.08.2023;5,8;-;-;-;-
Oslo - Kjelsås;SN18440;10.08.2023;2,7;-;-;-;-
Oslo - Kjelsås;SN18440;11.08.2023;0;-;-;-;-
Oslo - Kjelsås;SN18440;12.08.2023;3;-;-;-;-
Oslo - Kjelsås;SN18440;13.08.2023;0,3;-;-;-;-
Oslo - Kjelsås;SN18440;14.08.2023;2,2;-;-;-;-
